brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
Sitis,exact,,sitis.png,290,yes
Smart & Final,exact,smart-final.svg,,370,yes
Sobeys,exact,,sobeys.png,4,
Sonnentor,exact,,sonnentor.png,2,
Soriana,exact,,soriana.png,45,
Spar,exact,spar.svg,,932,yes
SPAR,exact,spar.svg,,4,
SPAR Gourmet,exact,,spar-gourmet.png,14,
Sprouts Farmers Market,exact,,sprouts-farmers-market.png,388,yes
Starbucks,exact,,starbucks.png,3,
Station U,no,,,11,
Stokrotka,exact,,stokrotka.png,1,
Stop & Shop,exact,stop-shop.svg,,7,
Studenac,exact,,studenac.png,7,
Supeco,exact,,supeco.png,165,yes
Super 99,no,,,1,
Super U,exact,,super-u.png,8263,yes
SUPER U,exact,,super-u.png,1,
Super U;Station U,no,,,3,
Super-Pharm,exact,,super-pharm.png,58,
SuperValu,exact,supervalu.svg,,4,
Système U,no,,,11,
Søstrene Grene,no,,,1,
T&T Supermarket,exact,t-t-supermarket.svg,,6,
Target,exact,,target.png,180,yes
Taste,exact,,taste.png,1,
TEDi,exact,tedi.svg,,2,
tegut,exact,tegut.svg,,51,
Tesco,exact,,tesco.png,20,
Tesco Express,exact,,tesco-express.png,282,yes
Tesco Extra,no,,,80,
Tesco Mobile,exact,,tesco-mobile.png,1,
Thalia,exact,,thalia.png,1,
The Co-operative Food,exact,,the-co-operative-food.png,55,
The Home Depot,exact,the-home-depot.svg,,1,
The MarketPlace,no,,,1,
The Range,exact,,the-range.png,1,
The Vitamin Shoppe,exact,,the-vitamin-shoppe.png,1,
Tiger,exact,,tiger.png,1,
Tigotà,exact,,tigota.png,1,
Tigros,exact,,tigros.png,1,
TK Maxx,exact,tk-maxx.svg,,2,
Todis,exact,,todis.png,6,
Tom & Co,exact,,tom-co.png,1,
Tommy,exact,,tommy.png,8,
Tops,exact,tops.svg,,9,
Total,no,,,25,
Trader Joe's,exact,trader-joes.svg,,599,yes
Truffaut,exact,,truffaut.png,1,
U Express,exact,u-express.svg,,1413,yes
UGC,exact,,ugc.png,4,
Unimarkt,no,,,1,
Univerexport,exact,univerexport.svg,,3,
Utile,exact,,utile.png,576,yes
V'Lille,no,,,1,
V-MARKT,exact,,v-markt.png,35,
Valcarce,no,,,2,
Vishal Mega Mart,exact,,vishal-mega-mart.png,1,
Vita,no,,,1,
Vitusapotek,exact,,vitusapotek.png,2,
Vival,exact,,vival.png,277,yes
VOI,no,,,2,
Vons,exact,vons.svg,,7,
Votre Marché,no,,,7,
Vélib' Métropole,no,,,5,
VélôToulouse,no,,,2,
Waitrose,exact,waitrose.svg,,8,
Waitrose & Partners,no,,,1,
Walgreens,exact,,walgreens.png,1,
Walmart,exact,walmart.svg,,666,yes
Weis,exact,,weis.png,30,
Weldom,exact,,weldom.png,1,
Westfield,exact,westfield.svg,,1,
Whole Foods Market,exact,whole-foods-market.svg,,4017,yes
WHSmith,exact,whsmith.svg,,22,
Willys,exact,willys.svg,,1170,yes
WinCo Foods,exact,winco-foods.svg,,56,
Winn-Dixie,exact,winn-dixie.svg,,1,
Winners,exact,winners.svg,,2,
Woolworths,exact,,woolworths.png,10,
World Market,exact,,world-market.png,8,
Xenos,exact,,xenos.png,1,
XXL,exact,,xxl.png,1,
Yorma’s,exact,,yormas.png,19,
Zeeman,exact,,zeeman.png,3,
Zehrs,exact,,zehrs.png,2,
Żabka,exact,,zabka.png,216,yes
ΑΒ Βασιλόπουλος,exact,,ab-basilopoulos.png,7,
Σκλαβενίτης,no,,,1,
Аврора,exact,,avrora.png,4,
АТБ-Маркет,exact,,atb-market.png,1,
Вопак,no,,,3,
Лента,exact,,lenta.png,2,
Магнит,exact,magnit.svg,,13,
Магнолия,no,,,5,
Монетка,exact,,monetka.png,5,
Пятёрочка,no,,,1,
Раз Два,no,,,1,
Сільпо,exact,,silpo.png,6,
Фантастико,exact,,fantastiko.png,2,
Чижик,no,,,3,
רמי לוי שיווק השקמה,exact,,rmy-lvy-shyvvk-hshkmh.png,2,
კარფური,exact,,karp-uri.png,1,
イオンモール,no,,,1,
オリンピック,exact,,orinpitsuku.png,2,
ハナマサ,exact,,hanamasa.png,1,
ローソン,exact,,ro-son.png,1,
優品360 Best Mart 360,exact,,you-pin-360-best-mart-360.png,1,
全家便利商店,exact,,quan-jia-bian-li-shang-dian.png,6,
全聯福利中心,exact,,quan-lian-fu-li-zhong-xin.png,95,
家樂福,exact,,jia-le-fu.png,62,
百佳超級市場 PARKnSHOP,exact,,bai-jia-chao-ji-shi-chang-parknshop.png,4,
聖安娜餅屋 Saint Honore Cake Shop,exact,,sheng-an-nuo-bing-wu-saint-honore-cake-shop.png,1,
